,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Marcus Smart,26,03/06/94,"Dallas, TX",Oklahoma State,5,f5096a5bcbc51d7fd40656c623c434e5,,https://a.espncdn.com/i/headshots/nba/players/full/2990992.png,75.0,2990992,36,Marcus Smart,PG,12553571.0,boston-celtics,s:40~l:46~a:2990992,220.0,394.0,182.0,29.0,3.3,8.8,37.4,1.5,4.6,31.8,1.8,2.4,77.4,0.9,2.7,3.6,4.0,0.4,1.6,2.6,1.7,9.9
Romeo Langford,20,10/25/99,"New Albany, IN",Indiana,0,75220698859cebd0a78dd7abedc92687,,https://a.espncdn.com/i/headshots/nba/players/full/4397008.png,76.0,4397008,45,Romeo Langford,SG,3458400.0,boston-celtics,s:40~l:46~a:4397008,216.0,27.0,1.0,11.0,0.9,2.4,37.5,0.2,0.9,21.7,0.6,0.9,69.6,0.5,0.7,1.2,0.2,0.2,0.3,1.1,0.3,2.6
Semi Ojeleye,25,12/05/94,"Overland Park, KS",SMU,2,b708196e083cbae669f4c726a15dedbe,,https://a.espncdn.com/i/headshots/nba/players/full/3056602.png,78.0,3056602,37,Semi Ojeleye,PF,1618520.0,boston-celtics,s:40~l:46~a:3056602,240.0,190.0,8.0,13.9,1.0,2.7,39.0,0.5,1.6,33.3,0.4,0.6,68.5,0.4,1.5,2.0,0.4,0.1,0.3,1.0,0.3,3.0
Tacko Fall,24,12/10/95,Senegal,UCF,0,cec7bd80fe2880fe8d9efe9a2294a563,,https://a.espncdn.com/i/headshots/nba/players/full/3904625.png,89.0,3904625,99,Tacko Fall,C,0.0,boston-celtics,s:40~l:46~a:3904625,311.0,6.0,0.0,4.0,1.5,2.0,75.0,0.0,0.0,0.0,0.2,0.5,33.3,0.0,1.8,1.8,0.0,0.3,0.0,0.8,0.5,3.2
Tremont Waters,22,01/10/98,"New Haven, CT",LSU,0,af6e260eb5e35114915d1f5af1028733,,https://a.espncdn.com/i/headshots/nba/players/full/4278080.png,70.0,4278080,51,Tremont Waters,PG,0.0,boston-celtics,s:40~l:46~a:4278080,175.0,10.0,0.0,8.9,1.2,3.5,34.3,0.3,1.7,17.6,0.6,0.6,100.0,0.0,0.9,0.9,1.2,0.2,0.5,1.1,1.0,3.3
Vincent Poirier,26,10/17/93,France,,0,3cc13d622a26f0a48ff42fc6ee7370fb,,https://a.espncdn.com/i/headshots/nba/players/full/4237215.png,84.0,4237215,77,Vincent Poirier,C,2505793.0,boston-celtics,s:40~l:46~a:4237215,235.0,21.0,0.0,5.4,0.8,1.6,48.5,0.0,0.1,50.0,0.3,0.3,85.7,0.5,1.1,1.6,0.3,0.3,0.1,1.1,0.3,1.9
Caris LeVert,25,08/25/94,"Columbus, OH",Michigan,3,32ca28ecabc26b16452fede2deec2b30,,https://a.espncdn.com/i/headshots/nba/players/full/2991043.png,78.0,2991043,22,Caris LeVert,SG,2625718.0,brooklyn-nets,s:40~l:46~a:2991043,205.0,207.0,86.0,25.6,4.6,10.7,43.0,1.3,3.7,34.2,1.9,2.7,71.1,0.7,2.9,3.7,3.5,0.2,1.0,1.9,1.8,12.4
Chris Chiozza,24,11/25/95,"Memphis, TN",Florida,1,9a990b112a42aa231daa2f2dbafd582e,,https://a.espncdn.com/i/headshots/nba/players/full/3137795.png,71.0,3137795,4,Chris Chiozza,PG,0.0,brooklyn-nets,s:40~l:46~a:3137795,176.0,28.0,0.0,10.1,1.2,3.1,39.1,0.7,1.6,43.5,0.1,0.1,100.0,0.3,1.1,1.4,1.9,0.1,0.6,0.9,0.6,3.2
DeAndre Jordan,31,07/21/88,"Houston, TX",Texas A&M,11,9c8e25a29e683ba859c8946b508a059e,,https://a.espncdn.com/i/headshots/nba/players/full/3442.png,83.0,3442,6,DeAndre Jordan,C,9881598.0,brooklyn-nets,s:40~l:46~a:3442,265.0,875.0,713.0,27.8,3.8,5.7,66.9,0.0,0.0,9.1,1.9,3.9,47.4,3.2,7.6,10.8,0.9,1.6,0.6,2.6,1.4,9.5
Dzanan Musa,20,05/08/99,,,1,ab1cc72137f128c1b28b539c37b0840a,,https://a.espncdn.com/i/headshots/nba/players/full/4348696.png,81.0,4348696,13,Dzanan Musa,SG,1911600.0,brooklyn-nets,s:40~l:46~a:4348696,217.0,44.0,0.0,10.1,1.3,3.7,36.6,0.4,1.7,21.3,0.8,1.0,71.7,0.5,1.3,1.7,0.8,0.0,0.3,0.6,0.8,3.8
Garrett Temple,33,05/08/86,"Baton Rouge, LA",LSU,9,4db0d5c9fcda03269e731d0b3b409658,,https://a.espncdn.com/i/headshots/nba/players/full/4023.png,77.0,4023,17,Garrett Temple,SG,4767000.0,brooklyn-nets,s:40~l:46~a:4023,195.0,569.0,242.0,21.0,2.2,5.6,40.3,1.0,2.8,34.7,0.8,1.1,73.3,0.4,1.9,2.3,1.7,0.3,0.8,1.9,0.9,6.3
Jarrett Allen,21,04/21/98,"San Diego, CA",Texas,2,2c854df9a5a000969a6ec13cefab21d0,,https://a.espncdn.com/i/headshots/nba/players/full/4066328.png,83.0,4066328,31,Jarrett Allen,C,2376840.0,brooklyn-nets,s:40~l:46~a:4066328,243.0,216.0,169.0,24.0,3.9,6.4,60.7,0.1,0.3,16.9,2.1,3.1,69.2,2.5,5.3,7.7,1.1,1.4,0.5,2.2,1.2,9.9
Jeremiah Martin,23,06/19/96,"Memphis, TN",Memphis,0,03780ce5adb19954fe4cb52bd748f164,,https://a.espncdn.com/i/headshots/nba/players/full/3907788.png,74.0,3907788,0,Jeremiah Martin,PG,,brooklyn-nets,s:40~l:46~a:3907788,185.0,3.0,0.0,5.3,0.3,1.7,20.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.3,0.3,0.0,0.0,0.7
Joe Harris,28,09/06/91,"Chelan, WA",Virginia,5,654e75253cf08d2953951254860ee186,,https://a.espncdn.com/i/headshots/nba/players/full/2528794.png,78.0,2528794,12,Joe Harris,SF,7666667.0,brooklyn-nets,s:40~l:46~a:2528794,220.0,325.0,165.0,24.2,3.7,7.9,47.4,1.9,4.4,42.3,0.9,1.2,78.6,0.6,2.5,3.1,1.6,0.2,0.5,2.0,1.2,10.3
Justin Anderson,26,11/19/93,"Montross, VA",Virginia,4,f8e9cbbb9c45522028bd1c54c154a261,,https://a.espncdn.com/i/headshots/nba/players/full/2982340.png,77.0,2982340,7,Justin Anderson,SG,,brooklyn-nets,s:40~l:46~a:2982340,231.0,219.0,23.0,13.1,1.9,4.5,41.8,0.6,2.1,30.0,0.9,1.2,77.6,0.6,1.9,2.5,0.7,0.3,0.4,1.2,0.6,5.3
Kevin Durant,31,09/29/88,"Washington, DC",Texas,12,dc324fdeeee898e209acd31d8ad9909e,,https://a.espncdn.com/i/headshots/nba/players/full/3202.png,82.0,3202,7,Kevin Durant,SF,38199000.0,brooklyn-nets,s:40~l:46~a:3202,240.0,849.0,849.0,36.9,9.2,18.7,49.3,1.8,4.9,38.1,6.8,7.7,88.3,0.7,6.3,7.1,4.1,1.1,1.1,1.9,3.1,27.0
Kyrie Irving,28,03/23/92,Australia,Duke,8,4fb2e3fcad79d9bcddd9bbb09f29ead3,,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,74.0,6442,11,Kyrie Irving,PG,31742000.0,brooklyn-nets,s:40~l:46~a:6442,195.0,528.0,528.0,33.8,8.2,17.7,46.6,2.1,5.4,39.0,3.8,4.4,87.7,0.8,2.9,3.7,5.7,0.4,1.3,2.2,2.6,22.4
Nicolas Claxton,20,04/17/99,"Greenville, SC",Georgia,0,2f68e9f3e30bd15451bb0c2a5334860a,,https://a.espncdn.com/i/headshots/nba/players/full/4278067.png,83.0,4278067,33,Nicolas Claxton,PF,898310.0,brooklyn-nets,s:40~l:46~a:4278067,215.0,15.0,0.0,12.5,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.5,0.1,0.9,0.6,4.4
Rodions Kurucs,22,02/05/98,Latvia,,1,2dd9a52da382bdf8500a707cb4025696,,https://a.espncdn.com/i/headshots/nba/players/full/4230548.png,81.0,4230548,00,Rodions Kurucs,SF,1699236.0,brooklyn-nets,s:40~l:46~a:4230548,228.0,102.0,50.0,17.6,2.6,5.7,44.9,0.8,2.4,33.3,0.9,1.2,74.2,0.7,2.6,3.4,0.8,0.3,0.6,2.1,1.1,6.8
Spencer Dinwiddie,26,04/06/93,"Los Angeles, CA",Colorado,5,d161d7b2bf154c50b6380c8d8754efe4,,https://a.espncdn.com/i/headshots/nba/players/full/2580782.png,77.0,2580782,26,Spencer Dinwiddie,PG,10605600.0,brooklyn-nets,s:40~l:46~a:2580782,215.0,317.0,130.0,25.7,4.2,10.1,41.0,1.4,4.4,31.8,3.2,4.1,79.3,0.4,2.3,2.8,5.0,0.3,0.7,2.4,1.8,12.9
Taurean Prince,26,03/22/94,"San Marcos, TX",Baylor,3,bb4c77ff39aa4d3047a4a1e375f721d1,R,https://a.espncdn.com/i/headshots/nba/players/full/2990962.png,79.0,2990962,2,Taurean Prince,PF,3481986.0,brooklyn-nets,s:40~l:46~a:2990962,218.0,260.0,200.0,26.4,4.1,10.0,41.2,1.8,5.0,36.6,1.5,1.8,81.8,0.6,3.8,4.3,1.9,0.4,0.9,2.2,1.8,11.6
Theo Pinson,24,11/05/95,"Greensboro, NC",North Carolina,1,687b516ff60db03e4392fddc80f2a793,L,https://a.espncdn.com/i/headshots/nba/players/full/3138154.png,77.0,3138154,1,Theo Pinson,SG,1445697.0,brooklyn-nets,s:40~l:46~a:3138154,212.0,51.0,0.0,11.3,1.4,4.5,30.7,0.5,2.5,21.4,0.7,0.7,89.5,0.3,1.5,1.8,1.5,0.1,0.5,1.0,1.0,3.9
Wilson Chandler,32,05/10/87,"Benton Harbor, MI",DePaul,11,b149743089a545333c827fed0ccaa5da,,https://a.espncdn.com/i/headshots/nba/players/full/3194.png,80.0,3194,21,Wilson Chandler,SF,1620564.0,brooklyn-nets,s:40~l:46~a:3194,235.0,676.0,483.0,30.0,4.8,10.9,44.3,1.3,3.8,34.1,1.6,2.0,77.0,1.1,4.2,5.3,1.8,0.6,0.7,2.7,1.4,12.5
Allonzo Trier,24,01/17/96,"Seattle, WA",Arizona,1,d5ac89437e634dc8ed054d7ca2650e37,,https://a.espncdn.com/i/headshots/nba/players/full/3907525.png,76.0,3907525,14,Allonzo Trier,SG,3551000.0,new-york-knicks,s:40~l:46~a:3907525,200.0,88.0,4.0,19.9,3.2,7.1,45.4,0.8,2.1,38.4,2.4,3.0,80.1,0.4,2.1,2.6,1.7,0.2,0.4,1.7,1.6,9.7
Bobby Portis,25,02/10/95,"Little Rock, AR",Arkansas,4,2f914525c16fdef642dbf2a4c1d27502,L,https://a.espncdn.com/i/headshots/nba/players/full/3064482.png,82.0,3064482,1,Bobby Portis,PF,15000000.0,new-york-knicks,s:40~l:46~a:3064482,250.0,315.0,54.0,20.4,4.1,9.0,45.6,0.9,2.4,36.0,1.1,1.5,75.4,1.7,4.2,5.9,1.2,0.3,0.5,1.8,1.1,10.2
Damyean Dotson,25,05/06/94,"Houston, TX",Houston,2,1b6ee6970611c759fcfd64ab1e60730a,,https://a.espncdn.com/i/headshots/nba/players/full/2991149.png,77.0,2991149,21,Damyean Dotson,SG,1618520.0,new-york-knicks,s:40~l:46~a:2991149,210.0,165.0,42.0,20.1,2.9,7.0,42.0,1.3,3.5,36.1,0.7,0.9,72.1,0.3,2.3,2.6,1.4,0.1,0.6,1.3,0.7,7.8
Elfrid Payton,26,02/22/94,"Gretna, LA",Louisiana-Lafayette,5,e2160cce28c6ea0ef083f0845a0951e6,,https://a.espncdn.com/i/headshots/nba/players/full/2583639.png,75.0,2583639,6,Elfrid Payton,PG,8000000.0,new-york-knicks,s:40~l:46~a:2583639,195.0,387.0,331.0,29.3,4.5,10.0,45.2,0.4,1.4,28.9,1.5,2.4,62.5,1.1,3.3,4.4,6.6,0.4,1.3,2.2,2.4,11.0
Frank Ntilikina,21,07/28/98,Belgium,,2,960a65ebc815b94c9fc02712bd4fd93f,,https://a.espncdn.com/i/headshots/nba/players/full/4230547.png,76.0,4230547,11,Frank Ntilikina,PG,4855800.0,new-york-knicks,s:40~l:46~a:4230547,200.0,178.0,51.0,21.3,2.3,6.3,36.6,0.7,2.3,31.1,0.7,0.9,78.3,0.4,1.8,2.2,3.1,0.3,0.8,2.4,1.4,6.0
Ignas Brazdeikis,21,01/08/99,Lithuania,Michigan,0,113393728f9bce210e964977825ce890,,https://a.espncdn.com/i/headshots/nba/players/full/4397205.png,78.0,4397205,17,Ignas Brazdeikis,SF,898310.0,new-york-knicks,s:40~l:46~a:4397205,221.0,9.0,0.0,5.9,0.7,2.4,27.3,0.1,1.0,11.1,0.4,0.6,80.0,0.2,0.3,0.6,0.4,0.1,0.0,0.3,0.2,1.9
Julius Randle,25,11/29/94,"Dallas, TX",Kentucky,5,cea0d1d3635387c8929ec556ae36dc41,,https://a.espncdn.com/i/headshots/nba/players/full/3064514.png,80.0,3064514,30,Julius Randle,PF,18000000.0,new-york-knicks,s:40~l:46~a:3064514,250.0,375.0,295.0,29.2,6.1,12.3,49.3,0.4,1.5,29.5,3.5,4.8,72.4,2.2,6.8,9.0,2.8,0.5,0.7,3.2,2.5,16.1
Kadeem Allen,27,01/15/93,"Wilmington, NC",Arizona,2,8b6c85f38137c174ca4bb79522158494,,https://a.espncdn.com/i/headshots/nba/players/full/3134880.png,73.0,3134880,0,Kadeem Allen,SG,0.0,new-york-knicks,s:40~l:46~a:3134880,200.0,47.0,2.0,13.6,1.9,4.4,43.5,0.5,1.3,34.9,1.2,1.6,75.7,0.3,1.2,1.5,2.3,0.2,0.5,1.4,0.9,5.5
Kenny Wooten,21,04/17/98,"Stockton, CA",Oregon,0,e32caf72b600f822b98b0fa339f0bf7e,,https://a.espncdn.com/i/headshots/nba/players/full/4278509.png,81.0,4278509,45,Kenny Wooten,PF,0.0,new-york-knicks,s:40~l:46~a:4278509,225.0,,,,,,,,,,,,,,,,,,,,,
Maurice Harkless,26,05/11/93,"Queens, NY",St. John's,7,2c0c03b9aefc9fd80609fd3ae01a4301,B,https://a.espncdn.com/i/headshots/nba/players/full/6591.png,79.0,6591,3,Maurice Harkless,SF,11011234.0,new-york-knicks,s:40~l:46~a:6591,220.0,537.0,325.0,23.1,2.9,6.0,47.8,0.6,1.9,32.5,0.8,1.4,61.2,1.2,2.5,3.7,0.9,0.7,1.0,2.1,0.9,7.2
Mitchell Robinson,21,04/01/98,"Pensacola, FL",Western Kentucky,1,0f21507bed4fc040eefc8223b67fab5b,,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,84.0,4351852,23,Mitchell Robinson,C,1599712.0,new-york-knicks,s:40~l:46~a:4351852,240.0,127.0,26.0,21.8,3.6,5.0,72.0,0.0,0.0,0.0,1.3,2.2,58.3,2.9,3.8,6.7,0.6,2.2,0.8,3.2,0.6,8.5
RJ Barrett,19,06/14/00,"Toronto, ON",Duke,0,92d6ee441fccf0585b219c8dc7d2efde,,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,78.0,4395625,9,RJ Barrett,SG,7839960.0,new-york-knicks,s:40~l:46~a:4395625,214.0,56.0,55.0,30.4,5.2,13.0,40.2,1.1,3.5,32.0,2.8,4.5,61.4,0.9,4.1,5.0,2.6,0.3,1.0,2.2,2.2,14.3
Reggie Bullock,29,03/16/91,"Baltimore, MD",North Carolina,6,aa25f4ed7be0dd09ba2859aaa11c7a95,,https://a.espncdn.com/i/headshots/nba/players/full/2528779.png,78.0,2528779,25,Reggie Bullock,SF,4000000.0,new-york-knicks,s:40~l:46~a:2528779,205.0,301.0,138.0,19.7,2.5,5.9,43.0,1.3,3.4,38.5,0.5,0.6,82.6,0.3,1.8,2.1,1.1,0.1,0.5,1.1,0.6,6.9
Taj Gibson,34,06/24/85,"Brooklyn, NY",USC,10,10759c57e920b75abcb943f9ec99c4dc,,https://a.espncdn.com/i/headshots/nba/players/full/3986.png,81.0,3986,67,Taj Gibson,C,9000000.0,new-york-knicks,s:40~l:46~a:3986,232.0,799.0,440.0,25.2,4.0,7.7,51.5,0.0,0.1,22.0,1.6,2.2,70.9,2.3,3.9,6.3,1.0,1.0,0.6,2.5,1.2,9.5
Wayne Ellington,32,11/29/87,"Wynnewood, PA",North Carolina,10,f949acb663824b8f848b00730ad25325,R,https://a.espncdn.com/i/headshots/nba/players/full/3981.png,76.0,3981,2,Wayne Ellington,SG,8000000.0,new-york-knicks,s:40~l:46~a:3981,207.0,681.0,166.0,21.0,2.9,7.1,40.8,1.5,3.9,37.8,0.7,0.8,84.6,0.3,1.9,2.2,1.1,0.1,0.5,1.1,0.7,8.0
Al Horford,33,06/03/86,Dominican Republic,Florida,12,b79dd16a5d4bd7049b0ceaa9ec3df217,,https://a.espncdn.com/i/headshots/nba/players/full/3213.png,81.0,3213,42,Al Horford,PF,28000000.0,philadelphia-76ers,s:40~l:46~a:3213,240.0,846.0,839.0,32.7,5.9,11.3,52.0,0.5,1.5,36.1,1.7,2.2,75.4,2.1,6.2,8.3,3.3,1.2,0.8,2.3,1.6,14.0
Alec Burks,28,07/20/91,"Grandview, MO",Colorado,8,f81289a6fd8e62c7713879f80f21610a,,https://a.espncdn.com/i/headshots/nba/players/full/6429.png,78.0,6429,20,Alec Burks,SG,1620564.0,philadelphia-76ers,s:40~l:46~a:6429,214.0,488.0,85.0,21.9,3.5,8.3,42.0,0.8,2.2,35.8,2.4,3.1,79.2,0.6,2.6,3.2,1.8,0.2,0.7,1.8,1.3,10.2
Ben Simmons,23,07/20/96,Australia,LSU,2,c55250794a9b1491713f1f48699e89b0,,https://a.espncdn.com/i/headshots/nba/players/full/3907387.png,82.0,3907387,25,Ben Simmons,PG,8113930.0,philadelphia-76ers,s:40~l:46~a:3907387,240.0,214.0,214.0,34.4,6.8,12.0,56.1,0.0,0.1,8.7,2.9,4.9,59.4,2.0,6.3,8.3,8.0,0.8,1.7,2.8,3.5,16.4
Furkan Korkmaz,22,07/24/97,Turkey,,2,ead1819b68191f7af43a3122e5e15fad,,https://a.espncdn.com/i/headshots/nba/players/full/3929325.png,79.0,3929325,30,Furkan Korkmaz,SG,1620564.0,philadelphia-76ers,s:40~l:46~a:3929325,202.0,126.0,19.0,17.1,2.6,6.2,41.7,1.4,3.8,37.2,0.7,1.0,75.8,0.3,1.8,2.1,1.0,0.1,0.5,1.3,0.6,7.3
Joel Embiid,26,03/16/94,Cameroon,Kansas,3,8941011900115ba0efed7b0b6c756c23,,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,84.0,3059318,21,Joel Embiid,C,27504630.0,philadelphia-76ers,s:40~l:46~a:3059318,280.0,202.0,202.0,30.6,8.0,16.8,47.9,1.2,3.6,32.2,6.8,8.6,79.4,2.4,9.1,11.5,3.1,1.8,0.7,3.4,3.5,24.1
Josh Richardson,26,09/15/93,"Edmond, OK",Tennessee,4,7b8ee798f436b91dfdb772f261ead3b1,,https://a.espncdn.com/i/headshots/nba/players/full/2581190.png,77.0,2581190,0,Josh Richardson,SG,10116576.0,philadelphia-76ers,s:40~l:46~a:2581190,200.0,307.0,236.0,30.7,4.5,10.7,42.6,1.6,4.4,36.2,1.7,2.1,81.4,0.7,2.5,3.2,2.9,0.7,1.1,2.5,1.4,12.4
Marial Shayok,24,07/26/95,"Ottawa, ON",Iowa State,0,496c22faafad638d01e492d8ff046599,,https://a.espncdn.com/i/headshots/nba/players/full/3138201.png,77.0,3138201,35,Marial Shayok,SG,0.0,philadelphia-76ers,s:40~l:46~a:3138201,198.0,2.0,0.0,5.0,0.5,2.5,20.0,0.5,1.5,33.3,0.0,0.0,0.0,0.0,1.5,1.5,0.5,0.0,0.0,0.0,0.5,1.5
Matisse Thybulle,23,03/04/97,"Scottsdale, AZ",Washington,0,0ce4527c004af0c15aa57b1935e84067,,https://a.espncdn.com/i/headshots/nba/players/full/3907498.png,77.0,3907498,22,Matisse Thybulle,SG,2582160.0,philadelphia-76ers,s:40~l:46~a:3907498,201.0,57.0,13.0,19.5,1.7,4.1,41.0,0.9,2.5,35.2,0.4,0.7,61.0,0.6,0.9,1.5,1.2,0.7,1.4,2.1,0.8,4.7
Mike Scott,31,07/16/88,"Chesapeake, VA",Virginia,7,c69d800a269549d8e624e65cda575694,L,https://a.espncdn.com/i/headshots/nba/players/full/6622.png,79.0,6622,1,Mike Scott,PF,4767000.0,philadelphia-76ers,s:40~l:46~a:6622,237.0,499.0,21.0,16.5,2.7,5.9,45.8,0.9,2.4,36.3,0.7,1.0,76.0,0.7,2.5,3.2,0.9,0.1,0.3,1.5,0.7,7.0
Norvel Pelle,27,02/03/93,,,0,644fbf7637946f18e132f3174311b32a,,https://a.espncdn.com/i/headshots/nba/players/full/2608892.png,82.0,2608892,14,Norvel Pelle,SF,350189.0,philadelphia-76ers,s:40~l:46~a:2608892,231.0,20.0,0.0,8.9,0.9,1.8,51.4,0.0,0.0,0.0,0.3,0.6,50.0,0.8,2.2,3.0,0.4,1.3,0.1,2.0,0.7,2.1
Raul Neto,27,05/19/92,Brazil,,4,a8463c665dc5f3c3f84682a998120b9f,,https://a.espncdn.com/i/headshots/nba/players/full/2968361.png,73.0,2968361,19,Raul Neto,PG,1620564.0,philadelphia-76ers,s:40~l:46~a:2968361,180.0,248.0,57.0,13.6,1.8,4.0,44.5,0.6,1.5,38.0,0.6,0.7,78.7,0.2,1.1,1.3,1.8,0.1,0.5,1.2,1.0,4.7
Shake Milton,23,09/26/96,"Owasso, OK",SMU,1,6575a3513a38c256f17d4f2aa62ad2ce,,https://a.espncdn.com/i/headshots/nba/players/full/3915195.png,77.0,3915195,18,Shake Milton,SG,1455697.0,philadelphia-76ers,s:40~l:46~a:3915195,205.0,52.0,16.0,16.9,2.7,5.8,46.7,1.2,2.9,41.3,0.8,1.1,75.9,0.4,1.6,2.0,1.7,0.3,0.5,1.9,0.8,7.5
Tobias Harris,27,07/15/92,"Islip, NY",Tennessee,8,7975a3ae314d5282e1d0b9d4d47e151a,,https://a.espncdn.com/i/headshots/nba/players/full/6440.png,80.0,6440,12,Tobias Harris,SF,32742000.0,philadelphia-76ers,s:40~l:46~a:6440,226.0,611.0,491.0,30.8,6.0,12.8,47.1,1.3,3.6,36.4,2.5,3.0,82.0,1.0,5.1,6.0,2.0,0.5,0.7,2.0,1.4,15.9
Zhaire Smith,20,06/09/99,"Garland, TX",Texas Tech,1,4bb0b7ebe7736cd2eb662faffb8439e1,,https://a.espncdn.com/i/headshots/nba/players/full/4277923.png,75.0,4277923,5,Zhaire Smith,SG,3058800.0,philadelphia-76ers,s:40~l:46~a:4277923,205.0,13.0,2.0,11.0,1.3,3.5,37.8,0.5,1.5,31.6,0.6,0.9,66.7,0.2,0.9,1.2,0.9,0.2,0.4,0.9,0.6,3.7
