,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Kadeem Allen,27,01/15/93,"Wilmington, NC",Arizona,2,8b6c85f38137c174ca4bb79522158494,,https://a.espncdn.com/i/headshots/nba/players/full/3134880.png,"6' 1""",3134880,0,Kadeem Allen,SG,0,new-york-knicks,s:40~l:46~a:3134880,200 lbs
Kenny Wooten,21,04/17/98,"Stockton, CA",Oregon,0,e32caf72b600f822b98b0fa339f0bf7e,,https://a.espncdn.com/i/headshots/nba/players/full/4278509.png,"6' 9""",4278509,45,Kenny Wooten,F,0,new-york-knicks,s:40~l:46~a:4278509,225 lbs
Maurice Harkless,26,05/11/93,"Queens, NY",St. John's,7,2c0c03b9aefc9fd80609fd3ae01a4301,B,https://a.espncdn.com/i/headshots/nba/players/full/6591.png,"6' 7""",6591,3,Maurice Harkless,SF,"$11,011,234",new-york-knicks,s:40~l:46~a:6591,220 lbs
Mitchell Robinson,21,04/01/98,"Pensacola, FL",Western Kentucky,1,0f21507bed4fc040eefc8223b67fab5b,,https://a.espncdn.com/i/headshots/nba/players/full/4351852.png,"7' 0""",4351852,23,Mitchell Robinson,C,"$1,599,712",new-york-knicks,s:40~l:46~a:4351852,240 lbs
RJ Barrett,19,06/14/00,"Toronto, ON",Duke,0,92d6ee441fccf0585b219c8dc7d2efde,,https://a.espncdn.com/i/headshots/nba/players/full/4395625.png,"6' 6""",4395625,9,RJ Barrett,SG,"$7,839,960",new-york-knicks,s:40~l:46~a:4395625,214 lbs
Reggie Bullock,29,03/16/91,"Baltimore, MD",North Carolina,6,aa25f4ed7be0dd09ba2859aaa11c7a95,,https://a.espncdn.com/i/headshots/nba/players/full/2528779.png,"6' 6""",2528779,25,Reggie Bullock,SF,"$4,000,000",new-york-knicks,s:40~l:46~a:2528779,205 lbs
Taj Gibson,34,06/24/85,"Brooklyn, NY",USC,10,10759c57e920b75abcb943f9ec99c4dc,,https://a.espncdn.com/i/headshots/nba/players/full/3986.png,"6' 9""",3986,67,Taj Gibson,C,"$9,000,000",new-york-knicks,s:40~l:46~a:3986,232 lbs
Wayne Ellington,32,11/29/87,"Wynnewood, PA",North Carolina,10,f949acb663824b8f848b00730ad25325,R,https://a.espncdn.com/i/headshots/nba/players/full/3981.png,"6' 4""",3981,2,Wayne Ellington,SG,"$8,000,000",new-york-knicks,s:40~l:46~a:3981,207 lbs
Al Horford,33,06/03/86,Dominican Republic,Florida,12,b79dd16a5d4bd7049b0ceaa9ec3df217,,https://a.espncdn.com/i/headshots/nba/players/full/3213.png,"6' 9""",3213,42,Al Horford,PF,"$28,000,000",philadelphia-76ers,s:40~l:46~a:3213,240 lbs
Alec Burks,28,07/20/91,"Grandview, MO",Colorado,8,f81289a6fd8e62c7713879f80f21610a,,https://a.espncdn.com/i/headshots/nba/players/full/6429.png,"6' 6""",6429,20,Alec Burks,SG,"$1,620,564",philadelphia-76ers,s:40~l:46~a:6429,214 lbs
Ben Simmons,23,07/20/96,Australia,LSU,2,c55250794a9b1491713f1f48699e89b0,,https://a.espncdn.com/i/headshots/nba/players/full/3907387.png,"6' 10""",3907387,25,Ben Simmons,PG,"$8,113,930",philadelphia-76ers,s:40~l:46~a:3907387,240 lbs
Furkan Korkmaz,22,07/24/97,Turkey,,2,ead1819b68191f7af43a3122e5e15fad,,https://a.espncdn.com/i/headshots/nba/players/full/3929325.png,"6' 7""",3929325,30,Furkan Korkmaz,SG,"$1,620,564",philadelphia-76ers,s:40~l:46~a:3929325,202 lbs
Joel Embiid,26,03/16/94,Cameroon,Kansas,3,8941011900115ba0efed7b0b6c756c23,,https://a.espncdn.com/i/headshots/nba/players/full/3059318.png,"7' 0""",3059318,21,Joel Embiid,C,"$27,504,630",philadelphia-76ers,s:40~l:46~a:3059318,280 lbs
Josh Richardson,26,09/15/93,"Edmond, OK",Tennessee,4,7b8ee798f436b91dfdb772f261ead3b1,,https://a.espncdn.com/i/headshots/nba/players/full/2581190.png,"6' 5""",2581190,0,Josh Richardson,SG,"$10,116,576",philadelphia-76ers,s:40~l:46~a:2581190,200 lbs
Marial Shayok,24,07/26/95,"Ottawa, ON",Iowa State,0,496c22faafad638d01e492d8ff046599,,https://a.espncdn.com/i/headshots/nba/players/full/3138201.png,"6' 5""",3138201,35,Marial Shayok,SG,0,philadelphia-76ers,s:40~l:46~a:3138201,198 lbs
Matisse Thybulle,23,03/04/97,"Scottsdale, AZ",Washington,0,0ce4527c004af0c15aa57b1935e84067,,https://a.espncdn.com/i/headshots/nba/players/full/3907498.png,"6' 5""",3907498,22,Matisse Thybulle,SG,"$2,582,160",philadelphia-76ers,s:40~l:46~a:3907498,201 lbs
Mike Scott,31,07/16/88,"Chesapeake, VA",Virginia,7,c69d800a269549d8e624e65cda575694,L,https://a.espncdn.com/i/headshots/nba/players/full/6622.png,"6' 7""",6622,1,Mike Scott,PF,"$4,767,000",philadelphia-76ers,s:40~l:46~a:6622,237 lbs
Norvel Pelle,27,02/03/93,,,0,644fbf7637946f18e132f3174311b32a,,https://a.espncdn.com/i/headshots/nba/players/full/2608892.png,"6' 10""",2608892,14,Norvel Pelle,SF,"$350,189",philadelphia-76ers,s:40~l:46~a:2608892,231 lbs
Raul Neto,27,05/19/92,Brazil,,4,a8463c665dc5f3c3f84682a998120b9f,,https://a.espncdn.com/i/headshots/nba/players/full/2968361.png,"6' 1""",2968361,19,Raul Neto,PG,"$1,620,564",philadelphia-76ers,s:40~l:46~a:2968361,180 lbs
Shake Milton,23,09/26/96,"Owasso, OK",SMU,1,6575a3513a38c256f17d4f2aa62ad2ce,,https://a.espncdn.com/i/headshots/nba/players/full/3915195.png,"6' 5""",3915195,18,Shake Milton,SG,"$1,455,697",philadelphia-76ers,s:40~l:46~a:3915195,205 lbs
Tobias Harris,27,07/15/92,"Islip, NY",Tennessee,8,7975a3ae314d5282e1d0b9d4d47e151a,,https://a.espncdn.com/i/headshots/nba/players/full/6440.png,"6' 8""",6440,12,Tobias Harris,SF,"$32,742,000",philadelphia-76ers,s:40~l:46~a:6440,226 lbs
Zhaire Smith,20,06/09/99,"Garland, TX",Texas Tech,1,4bb0b7ebe7736cd2eb662faffb8439e1,,https://a.espncdn.com/i/headshots/nba/players/full/4277923.png,"6' 3""",4277923,5,Zhaire Smith,SG,"$3,058,800",philadelphia-76ers,s:40~l:46~a:4277923,205 lbs
Chris Boucher,27,01/11/93,,Oregon,2,843d6489a236c54a38db617c74ded459,,https://a.espncdn.com/i/headshots/nba/players/full/3948153.png,"6' 9""",3948153,25,Chris Boucher,PF,"$1,588,231",toronto-raptors,s:40~l:46~a:3948153,200 lbs
Dewan Hernandez,23,12/09/96,"Miami, FL",Miami (FL),0,d46b2d04a3a163a54df3b27cf5413254,,https://a.espncdn.com/i/headshots/nba/players/full/4065672.png,"6' 10""",4065672,20,Dewan Hernandez,C,"$898,310",toronto-raptors,s:40~l:46~a:4065672,235 lbs
Fred VanVleet,26,02/25/94,"Rockford, IL",Wichita State,3,6c6e5179fc67908ebc500a5580d64159,,https://a.espncdn.com/i/headshots/nba/players/full/2991230.png,"6' 1""",2991230,23,Fred VanVleet,SG,"$9,346,153",toronto-raptors,s:40~l:46~a:2991230,197 lbs
Kyle Lowry,33,03/25/86,"Philadelphia, PA",Villanova,13,f47675222a75d36e0214eeb7a489af0e,,https://a.espncdn.com/i/headshots/nba/players/full/3012.png,"6' 0""",3012,7,Kyle Lowry,PG,"$34,996,296",toronto-raptors,s:40~l:46~a:3012,196 lbs
Malcolm Miller,27,03/06/93,"Gaithersburg, MD",Holy Cross,2,948701532c2d39b853f6cd5694b66930,,https://a.espncdn.com/i/headshots/nba/players/full/2580980.png,"6' 7""",2580980,13,Malcolm Miller,SG,"$1,588,231",toronto-raptors,s:40~l:46~a:2580980,210 lbs
Marc Gasol,35,01/29/85,Spain,,11,fff48cf2e014d79c191809b965813731,,https://a.espncdn.com/i/headshots/nba/players/full/3206.png,"6' 11""",3206,33,Marc Gasol,C,"$25,595,700",toronto-raptors,s:40~l:46~a:3206,255 lbs
Matt Thomas,25,08/04/94,"Decatur, IL",Iowa State,0,4047056662eb99aeef06b0a7401917e8,,https://a.espncdn.com/i/headshots/nba/players/full/3059311.png,"6' 4""",3059311,21,Matt Thomas,SG,"$898,310",toronto-raptors,s:40~l:46~a:3059311,190 lbs
Norman Powell,26,05/25/93,"San Diego, CA",UCLA,4,4941d0401812cbb027bf598cd624bc84,,https://a.espncdn.com/i/headshots/nba/players/full/2595516.png,"6' 3""",2595516,24,Norman Powell,SG,"$10,116,576",toronto-raptors,s:40~l:46~a:2595516,215 lbs
OG Anunoby,22,07/17/97,England,Indiana,2,31ec117d6e14d4f094149d2467197179,B,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png,"6' 7""",3934719,3,OG Anunoby,SF,"$2,281,800",toronto-raptors,s:40~l:46~a:3934719,232 lbs
Oshae Brissett,21,06/20/98,"Toronto, ON",Syracuse,0,3ffed185196d48d0e38ee91b22f2273c,,https://a.espncdn.com/i/headshots/nba/players/full/4278031.png,"6' 7""",4278031,12,Oshae Brissett,SF,0,toronto-raptors,s:40~l:46~a:4278031,210 lbs
Pascal Siakam,25,04/02/94,Cameroon,New Mexico State,3,7c82adbb96d724542921535f8b8f6248,,https://a.espncdn.com/i/headshots/nba/players/full/3149673.png,"6' 9""",3149673,43,Pascal Siakam,PF,"$2,351,839",toronto-raptors,s:40~l:46~a:3149673,230 lbs
Patrick McCaw,24,10/25/95,,UNLV,3,a8813780dda6d3d8164dd05be84d7a43,,https://a.espncdn.com/i/headshots/nba/players/full/3137730.png,"6' 7""",3137730,22,Patrick McCaw,SF,"$4,000,000",toronto-raptors,s:40~l:46~a:3137730,181 lbs
Paul Watson,25,12/30/94,USA,Fresno State,0,6dc16b47c281c67d63cbe6ad03cbc117,L,https://a.espncdn.com/i/headshots/nba/players/full/3058030.png,"6' 6""",3058030,1,Paul Watson,SF,0,toronto-raptors,s:40~l:46~a:3058030,210 lbs
Serge Ibaka,30,09/18/89,,,10,2fe777baa2f3774ce617c8158c48e40c,,https://a.espncdn.com/i/headshots/nba/players/full/3439.png,"7' 0""",3439,9,Serge Ibaka,C,"$23,271,604",toronto-raptors,s:40~l:46~a:3439,235 lbs
Stanley Johnson,23,05/29/96,"Anaheim, CA",Arizona,4,6caed88faf780c9839373c45c93fd069,,https://a.espncdn.com/i/headshots/nba/players/full/3134881.png,"6' 6""",3134881,5,Stanley Johnson,SF,"$3,623,000",toronto-raptors,s:40~l:46~a:3134881,242 lbs
Terence Davis,22,05/16/97,,Ole Miss,0,063803e61039bb717172aa9fe499dbe5,,https://a.espncdn.com/i/headshots/nba/players/full/3919454.png,"6' 4""",3919454,0,Terence Davis,SG,"$898,310",toronto-raptors,s:40~l:46~a:3919454,201 lbs
Adam Mokoka,21,07/18/98,France,,0,5e54fa1ddac2f6fe9b5b7d458ec916db,,https://a.espncdn.com/i/headshots/nba/players/full/4349241.png,"6' 5""",4349241,20,Adam Mokoka,SG,0,chicago-bulls,s:40~l:46~a:4349241,190 lbs
Chandler Hutchison,23,04/26/96,"Mission Viejo, CA",Boise State,1,0bbef0d6e2d16753f4220deaba4baea8,,https://a.espncdn.com/i/headshots/nba/players/full/3149010.png,"6' 7""",3149010,15,Chandler Hutchison,SF,"$2,332,320",chicago-bulls,s:40~l:46~a:3149010,210 lbs
Coby White,20,02/16/00,"Goldsboro, NC",North Carolina,0,750f545c3cc8fea491cd828da373cc8e,,https://a.espncdn.com/i/headshots/nba/players/full/4395651.png,"6' 4""",4395651,0,Coby White,PG,"$5,307,120",chicago-bulls,s:40~l:46~a:4395651,195 lbs
Cristiano Felicio,27,07/07/92,Brazil,,4,d1e73c8c947fa0edfbd6880579f09cb1,,https://a.espncdn.com/i/headshots/nba/players/full/3113587.png,"6' 10""",3113587,6,Cristiano Felicio,PF,"$8,156,500",chicago-bulls,s:40~l:46~a:3113587,270 lbs
Daniel Gafford,21,10/01/98,"El Dorado, AR",Arkansas,0,5ea1b27c35dcc1cf3d9cba22c98062d4,,https://a.espncdn.com/i/headshots/nba/players/full/4278049.png,"6' 10""",4278049,12,Daniel Gafford,PF,"$898,310",chicago-bulls,s:40~l:46~a:4278049,234 lbs
Denzel Valentine,26,11/16/93,"Lansing, MI",Michigan State,2,c4d7526e039e65ad70ba53e87bdf2051,,https://a.espncdn.com/i/headshots/nba/players/full/2999549.png,"6' 4""",2999549,45,Denzel Valentine,SG,"$3,377,569",chicago-bulls,s:40~l:46~a:2999549,220 lbs
Kris Dunn,26,03/18/94,"New London, CT",Providence,3,3bf37b82bc22d8827cfa0092b896e87a,,https://a.espncdn.com/i/headshots/nba/players/full/2991139.png,"6' 3""",2991139,32,Kris Dunn,SF,"$5,348,007",chicago-bulls,s:40~l:46~a:2991139,205 lbs
Lauri Markkanen,22,05/22/97,Finland,Arizona,2,87ff7f1be52ab236308c878d12df8446,,https://a.espncdn.com/i/headshots/nba/players/full/4066336.png,"7' 0""",4066336,24,Lauri Markkanen,PF,"$5,300,400",chicago-bulls,s:40~l:46~a:4066336,240 lbs
Luke Kornet,24,07/15/95,"Lantana, TX",Vanderbilt,2,7a7e5cbb08080a1108e45b50144abcb9,R,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png,"7' 2""",3064560,2,Luke Kornet,C,"$2,250,000",chicago-bulls,s:40~l:46~a:3064560,250 lbs
Max Strus,23,03/28/96,"Hickory Hills, IL",DePaul,0,ac438cf4ae0c8aec7efca048bfe3df5b,,https://a.espncdn.com/i/headshots/nba/players/full/4065778.png,"6' 5""",4065778,28,Max Strus,SG,"$898,310",chicago-bulls,s:40~l:46~a:4065778,215 lbs
Ryan Arcidiacono,25,03/26/94,"Philadelphia, PA",Villanova,2,94e5307f37c4541f3491eef33255c48c,,https://a.espncdn.com/i/headshots/nba/players/full/2991047.png,"6' 3""",2991047,51,Ryan Arcidiacono,PG,"$3,000,000",chicago-bulls,s:40~l:46~a:2991047,195 lbs
Shaquille Harrison,26,10/06/93,"Kansas City, MO",Tulsa,2,586e47d577d48fcc96c79f32b62dffb0,B,https://a.espncdn.com/i/headshots/nba/players/full/2991274.png,"6' 7""",2991274,3,Shaquille Harrison,PG,"$1,620,564",chicago-bulls,s:40~l:46~a:2991274,190 lbs
Thaddeus Young,31,06/21/88,"New Orleans, LA",Georgia Tech,12,2f6738bf131716a49fb244464533ef77,,https://a.espncdn.com/i/headshots/nba/players/full/3244.png,"6' 8""",3244,21,Thaddeus Young,PF,"$12,900,000",chicago-bulls,s:40~l:46~a:3244,235 lbs
Tomas Satoransky,28,10/30/91,,,3,42b1cdebf3b717ab634e04546db551d3,,https://a.espncdn.com/i/headshots/nba/players/full/6621.png,"6' 7""",6621,31,Tomas Satoransky,SG,"$10,000,000",chicago-bulls,s:40~l:46~a:6621,210 lbs
Zach LaVine,25,03/10/95,"Renton, WA",UCLA,5,dba79cae3f61b87b37d9223f39b4f516,,https://a.espncdn.com/i/headshots/nba/players/full/3064440.png,"6' 6""",3064440,8,Zach LaVine,PG,"$19,500,000",chicago-bulls,s:40~l:46~a:3064440,200 lbs
Alfonzo McKinnie,27,09/17/92,"Chicago, IL",Green Bay,2,44e778aa8c7a0433437b1ac7a6e513a7,,https://a.espncdn.com/i/headshots/nba/players/full/2530923.png,"6' 7""",2530923,28,Alfonzo McKinnie,SF,"$1,500,000",cleveland-cavaliers,s:40~l:46~a:2530923,215 lbs
Andre Drummond,26,08/10/93,"Mount Vernon, NY",Connecticut,7,355269b721fc8104b40ed7c81ec96c9a,B,https://a.espncdn.com/i/headshots/nba/players/full/6585.png,"6' 10""",6585,3,Andre Drummond,C,"$27,093,019",cleveland-cavaliers,s:40~l:46~a:6585,279 lbs
Ante Zizic,23,01/04/97,Croatia,,2,589d0f89c59df7efde145fc1eb01ae8d,,https://a.espncdn.com/i/headshots/nba/players/full/4017838.png,"6' 10""",4017838,41,Ante Zizic,C,"$2,281,800",cleveland-cavaliers,s:40~l:46~a:4017838,266 lbs
